,DISTB_PD,ENTRPS,PRDUCT,브랜드명,제품명,이미지링크,REGIST_DT,STTEMNT_NO,SUNGSANG,index
3983,제조일로부터 24개월,코스맥스엔비티(주),내눈엔 루테인,,,,20190809,2.01E+14,"이미, 이취가 없고 고유의 향미가 있는 진한빨간색의 점조성 내용물을 함유한 진한 적갈색 연질 캡슐",3984
3984,제조일로부터 2년,(주)세모,내모메지구력파워,,,,20150522,2.00E+12,녹색의 페이스트가 들어있는 연질캡슐,3985
3985,제조일로부터2년까지,대동고려삼(주),내몸가득 진(眞)6년근홍삼스틱,,,,20180514,2.00E+13,"갈색의 점조성 액상으로 이미,이취가 없음",3986
3986,24개월,풀무원건강생활(주),내몸다스림메타5,,,,20190809,2.00E+13,이미이취가 없고 고유의 향미가 있는 회황색의 제피정제,3987
3987,제조일로부터 24개월,(주)허브큐어,내몸사랑 건간환,,,,20170224,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 의 검은 청록색의 환",3988
3988,제조일로부터 24개월,에스케이내추럴팜(주),내몸애 관절액션엠에스엠(MSM),,,,20170721,2.00E+13,"이미,이취가 없고 고유의 향미가 있는 백색의 장방형 코팅정제",3989
3989,제조일로부터 2년,주식회사 노바렉스2공장,내몸애 발란스 데일리 오메가3,,,,20171218,2.01E+13,연한노란연두색의 내용물을 함유한 투명 연질캡슐,3990
3990,제조일로부터 24개월,(주)한국씨엔에스팜,내몸애 철분,,,,20150522,2.00E+13,검은색의 점조성 내용물을 함유한 암갈색의연질캡슐,3991
3991,제조일부터 24개월,(주)서흥,내몸애 풋사과하자,,,,20170223,2.00E+14,탁한 노란 연두색의 제피정제,3992
3992,제조일로부터 24개월,엠에스바이오텍(주)제2공장,내몸애(愛) 눈건강 루테인,,,,20190422,2.01E+12,백색-어두운 적자색 알갱이가 있는 연보라색 분말,3993
3993,제조일로부터 2년,주식회사 노바렉스,내몸애(愛) 멀티케어 비타민,,,,20170619,2.00E+14,"연질캡슐 : 미황색의 내용물을 함유한 빨간색 연질캡슐,미네랄정제 : 백색 내용물을 함유한 연두색 코팅정제, 비타민C정제 : 백색 내용물을 함유한 백색 코팅정제, 비타민B군정제 : 흐린 노란 내용물을 함유한 연한 노란색 코팅정제",3994
3994,제조일로부터 24개월까지,극동에치팜(주),내몸애(愛) 발란스 프리미엄 루테인,,,,20161214,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 주황색 내용물을 함유한 갈색 연질캡슐",3995
3995,제조일로부터 2년,주식회사 노바렉스,내몸애(愛) 상큼한 에너지B,,,,20180426,2.00E+14,연한 노란 연두색의 분말,3996
3996,제조일로부터 2년,주식회사 노바렉스,내몸애(愛) 에너지 플러스 B,,,,20150522,2.00E+14,짙은 갈색과 흰색이 섞인 분말,3997
3997,제조일로부터 24개월,주식회사 노바렉스,내몸애(愛) 이너라이트,,,,20180813,2.00E+14,검정색 점박이가 있는 하얀색 분말,3998
3998,제조일로부터 2년,주식회사 노바렉스,내몸애(愛) 이너밸런스C,,,,20170518,2.00E+14,백색알갱이를 함유한 밝은 회보라색의 분말,3999
3999,제조일부터 24개월,(주)네추럴에프앤피,"내몸애(愛)비타민C 1,000",,,,20190510,2.00E+14,회황색 제피정제,4000
4000,제조일부터 24개월,(주)네추럴에프앤피,"내몸애(愛)비타민D2,400 IU",,,,20190517,2.00E+14,노란 하얀색의 내용물을 함유한 진한 적갈색의 연질캡슐,4001
4001,제조일로부터 24개월,(주)알피바이오 제2공장,내몸애(愛)유산균,,,,20150522,2.00E+13,고유의 향미가 있는 유백색의 분말,4002
4002,24개월,(주)네추럴에프앤피,내몸애愛 멀티비타민&미네랄,,,,20150522,2.00E+13,연한노란색의 장방형 제피정제,4003
4003,제조일부터 24개월,(주)네추럴에프앤피,내몸애愛트리엠,,,,20180912,2.00E+14,연한 노란 연두색의 장방형정제,4004
4004,제조일로부터 24개월,에스케이내추럴팜(주),내몸애발란스멀티비타민앤미네랄파워업,,,,20170717,2.00E+13,"이미,이취가 없고 고유의 향미가 있는 담황색의 장방형 코팅 정제",4005
4005,제조일로부터 2년,코스맥스바이오(주),내몸앤수(秀)(수출명 : 우먼즈파워(WOMENZ POWER)),,,,20160811,2.00E+14,흐린 황갈색의 내용물을 함유한 흑갈색의 연질캡슐,4006
4006,제조일로부터 2년.,코스맥스바이오(주),내몸앤진(眞)(수출명 : 맨즈파워(MENZ POWER),,,,20160919,2.00E+14,탁한 황갈색의 유상 내용물을 함유한 암적색의 연질캡슐,4007
4007,제조일로부터 24개월,극동에치팜(주),내몸에 가르시니아,,,,20161214,2.00E+13,"이미,이취가 없고 고유의 향미가 있는 미백색의 장방형 정제",4008
4008,제조일로부터 24개월,극동에치팜(주),내몸에 멀티비타민,,,,20161209,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 미백색의 장방형 정제",4009
4009,제조일로부터 2년,종근당건강(주),내몸에 미 골드,,,,20150522,2.00E+13,미황색의 점조성 내용물을 함유한 미황색의 연질캡슐,4010
4010,제조일로부터 24개월,극동에치팜(주),내몸에 밀크씨슬,,,,20161209,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황색의 장방형 제피정제",4011
4011,18개월,(주)네추럴에프앤피,내몸에 사과해(apology)가르시니아,,,,20160503,2.00E+13,연한 황갈색의 투명한 젤리,4012
4012,제조일로부터 24개월,코스맥스엔비티(주),내몸에 순한 단백질,,,,20170404,2.01E+13,"이미, 이취가 없고 고유의 향미가 있는 황색의 분말",4013
4013,2년,(주)유유헬스케어,내몸에 조은 멀티비타민,,,,20150522,2.00E+13,이미 이취가 없고 고유의 향미가 있는 연한 노랑색 원형 정제,4014
4014,제조일로부터 24개월까지,극동에치팜(주),내몸에 칼슘마그네슘,,,,20161209,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 미백색의 장방형 정제",4015
4015,제조일로부터 2년,주식회사 노바렉스,내몸에The사랑밀크씨슬,,,,20150522,2.00E+13,황색~황갈색의 내용물이 든 적색의 연질 캡슐,4016
4016,제조일로부터 2년,주식회사 노바렉스,내몸에The사랑비타민미네랄,,,,20150522,2.00E+14,"흐린녹갈색의 장방형 투명코팅 정제, 연한황갈색의 원형 투명코팅 정제, 미색의 장방형 투명코팅 정제, 주황색의 내용물이 든 적색연질캡슐",4017
4017,제조일로부터 2년,주식회사 노바렉스,내몸에The사랑아세로라비타C,,,,20150522,2.00E+14,붉은반점을 띄는 연분홍색 원형의 츄어블 정제,4018
4018,제조일로부터 18개월,주식회사 노바렉스,내몸에The사랑유산균,,,,20150522,2.00E+14,연분홍색의 분말,4019
4019,18개월,(주)네추럴에프앤피,내몸에사과해(apology) 가르시니아 딸기맛,,,,20170119,2.00E+13,밝은 적갈색의 젤리,4020
4020,제조일로부터 24개월,(주)바이오 로제트,내몸에사과해(apology) 이지홍삼스틱,,,,20180411,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 암갈색의 액상",4021
4021,제조일로부터 24개월,(주)유유헬스케어,"내몸에좋은비타민 C와E, B2 레몬맛",,,,20150522,2.00E+13,"이미, 이취가 없고 고유의 향미를 가진 노란색의 원형정제",4022
4022,제조일로부터 24개월,(주)유유헬스케어,내몸에좋은비타민C와E 딸기맛,,,,20150522,2.00E+13,"이미, 이취가 없고 고유의 향미를 가진 연분홍색의 원형정제",4023
4023,제조일로부터 2년.,코스맥스바이오(주),내몸에칼슘플러스D,,,,20150522,2.00E+13,연회색의 내용물을 함유한 백색의 경질캅셀.,4024
4024,제조일로부터 24개월까지,(주)한국씨엔에스팜,내몸엔 우리석류,,,,20161206,2.00E+14,연갈색의 장방형 제피정제,4025
4025,24개월,(주)삼진GNF,내몸엔 홍삼스틱,,,,20180912,2.01E+12,"이미, 이취가 없는 고유의 향미를 지닌 진홍색의 액상제품",4026
4026,제조일로부터 2년,(주)스마트세이프존,내몸엔고분자수용성키토산,,,,20150522,2.00E+12,"이미, 이취가 없고 고유의 향미를 가지는 미황색의 경질캡슐",4027
4027,제조일로부터 24개월.,주)팜크로스,내몸엔우리석류,,,,20170626,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 탁한적갈색의 장방형 코팅정제.",4028
4028,제조일로부터 2년까지,(주)허브큐어,내몸을 부탁해,,,,20190218,2.00E+13,"이미, 이취가 없고 불규칙한 점박이를 포함한 회갈색의 장방형 코팅정제",4029
4029,제조일로부터 24개월,엠에스바이오텍(주)제2공장,내몸이가벼운가르시니아,,,,20190328,2.01E+12,백색-흑갈색의 점박이가 보이는 미백색 코팅정제,4030
4030,제조일로부터 24개월,주식회사한미양행,내몸트리엠,,,,20151230,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 연한노란색의 삼각형 정제.이미, 이취가 없고 고유의 향미가 있는 연한노란 연두색의 삼각형 정제.",4031
4031,제조일로부터 2년,코스맥스바이오(주),내속에밤오비엑스레몬밤다이어트,,,,20171027,2.00E+14,회황색의 제피정제,4032
4032,제조일로부터 2년,콜마비앤에이치(주)푸디팜사업부문,내추럴C플러스,,,,20150522,2.01E+13,연한분홍색의 타원형 코팅정제,4033
4033,제조일로부터 2년.,코스맥스바이오(주),내추럴멀티비타민미네랄,,,,20150522,2.00E+14,밝은 회황색의 제피정제.,4034
4034,제조일로부터 24개월,(주)한국씨엔에스팜,내츄렉스 N-아세틸글루코사민,,,,20150522,2.00E+13,아이보리색의 장방형 제피정제,4035
4035,제조일로부터 24개월,(주)한국씨엔에스팜,내츄렉스 내릴롸 알로에,,,,20150522,2.00E+13,연한녹색의 장방형 제피정,4036
4036,제조일로부터 24개월,(주)한국씨엔에스팜,내츄렉스 멀티비타민 미네랄 포 맨,,,,20150522,2.00E+13,연녹색의 장방형 제피정,4037
4037,제조일로부터 24개월,(주)한국씨엔에스팜,내츄렉스 멀티비타민 미네랄 포 우먼,,,,20150522,2.00E+13,분홍색의 장방형 제피정,4038
4038,제조일로부터 24개월,(주)한국씨엔에스팜,내츄렉스 비타민C,,,,20150522,2.00E+13,주황색의 장방형 제피정,4039
4039,제조일로부터 24개월,(주)한국씨엔에스팜,내츄렉스 아쿠아칼슘,,,,20150522,2.00E+13,연한회색의 장방형 제피정.,4040
4040,제조일로부터 24개월,(주)한국씨엔에스팜,내츄렉스 애니 비 어덜트,,,,20150522,2.00E+13,노란색의 장방형 제피 정제,4041
4041,제조일로부터 24개월,(주)한국씨엔에스팜,내츄렉스 애니 비 키즈,,,,20150522,2.00E+13,노란색의 타원형 정제,4042
4042,제조일로부터 24개월,(주)한국씨엔에스팜,내츄렉스 키즈 멀티비타민,,,,20150522,2.00E+13,보라색의 코끼리형 정제,4043
4043,제조일로부터 24개월까지,극동에치팜 주식회사 2공장,내친구 몽이콩이 어린이홍삼,,,,20190813,2.02E+12,"황갈색의 액상으로 이미, 이취가 없음.",4044
4044,제조일로부터 24개월,주식회사 노바렉스,냄새없는마늘타블렛(수출용),,,,20151202,2.00E+14,미황색 원형의 투명의 장용성 코팅정제,4045
4045,제조일로부터 24개월,코스맥스엔비티(주),너리쉬 포 라이프 (Nourish for Life),,,,20180305,2.01E+14,"이미, 이취가 없고 고유의 향미가 있는 회백색~회황색의 분말",4046
4046,제조일로부터 24개월,주)팜크로스,너에게 난 다이어트,,,,20181116,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 미백색의 코팅된 장방형정제",4047
4047,제조일로부터 24개월,주)팜크로스,너에게 난 에너지,,,,20181211,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 미황색의 코팅된 장방형정제",4048
4048,제조일로부터 24개월,주)팜크로스,너에게 난 쾌변,,,,20181109,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 회갈색의 코팅된 장방형정제",4049
4049,제조일로부터 24개월,(주)두루원,너진짜예쁘다 너진예,,,,20190221,2.00E+13,백색의 정제,4050
4050,제조일로부터 24개월,(주)비오팜,넌 나의 변천사,,,,20170717,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 녹갈색 분말이 든 미황색 경질캡슐",4051
4051,24개월,(주)아오스,넌 세상에 하나뿐인 꽃,,,,20190705,2.01E+12,이미 이취가 없고 고유의 향미를 가지는 밝은 황갈색의 분말,4052
4052,제조일로부터 24개월까지,주식회사한미양행,넌먹을때가젤예뻐 바디컷가르시니아,,,,20170306,2.00E+13,"이미, 이취가 없고 고유의 향미를 지닌 회백색의 정제.",4053
4053,제조일로부터 24개월,(주)뉴트롬,널핀투 프로,,,,20170807,2.02E+12,"이미, 이취가 없고 고유한 향미가 있는 진한 노란색의 분말을 함유한 투명 경질캡슐",4054
4054,제조일로부터 2년.,코스맥스바이오(주),넘버.원프리미어오메가-3 505,,,,20160706,2.00E+14,미황색 오일을 함유한 투명색의 연질캡슐,4055
4055,18개월,(주)정원,넝쿨째 굴러온 효락,,,,20150522,2.00E+12,연갈색의 경질캡슐,4056
4056,제조일로부터 2년,코스맥스바이오(주),네리움프리미엄홍삼겔,,,,20161206,2.00E+14,갈색의 겔,4057
4057,18개월,(주)네이처텍,네오,,,,20150522,2.00E+12,"이미,이취가 없는 황갈색 ~ 흑갈색의 액상",4058
4058,제조일로부터 24개월까지,(주)한국씨엔에스팜,네오 프리베베 프리미엄,,,,20150522,2.00E+14,회색의 내용물을 함유한 갈색반투명의 연질캡슐,4059
4059,제조일로부터 24개월까지 (유통기한 설정 사유 : 별첨),(주)한국씨엔에스팜,네오 프리베베정,,,,20150907,2.00E+14,연갈색의 타원형 제피정제,4060
4060,제조일로부터 24개월,동서바이오팜(주),네오듀오,,,,20150522,2.00E+13,연보라색의 정제,4061
4061,제조일로부터 18개월,주식회사한미양행,네오바디 클린팻S,,,,20160601,2.00E+13,"이미, 이취가 없으며 고유의 향미를 지닌 흑갈색의 액상",4062
4062,제조일로부터 24개월,주식회사한미양행,네오바디 클린팻파우더S,,,,20160601,2.00E+13,"이미, 이취가 없으며 고유의 향미를 지닌 회황색의 분말",4063
4063,제조일로부터 24개월,주식회사한미양행,네오바디 클린화이바S,,,,20160601,2.00E+13,"이미, 이취가 없으며 고유의 향미를 지닌 흑갈색의 과립.",4064
4064,제조일로부터 24개월,주식회사한미양행,네오바디 푸드아미노자임S,,,,20160610,2.00E+13,"이미, 이취가 없으며 고유의 향미를 지닌 회항색의 분말.",4065
4065,제조일로부터 24개월,(주)대호양행,네오발효홍삼농축액분말,,,,20161110,2.00E+12,갈색의 분말,4066
4066,제조일로부터 2년,주식회사 노바렉스,네오뷰 이지컷 다이어트 스텝 쓰리,,,,20160610,2.00E+14,흰노란색의 분말,4067
4067,제조일로부터 2년,주식회사 노바렉스,네오뷰 이지컷 다이어트 스텝 원,,,,20160610,2.00E+14,미백색의 분말,4068
4068,제조일로부터 2년,주식회사 노바렉스,네오뷰 이지컷 다이어트 스텝 투,,,,20160610,2.00E+14,미백색의 분말,4069
4069,제조일로부터 2년,콜마비앤에이치(주)푸디팜사업부문,네오뷰 프라임 멀티비타민,,,,20160613,2.01E+13,흐린노랑주황색의 코팅정제,4070
4070,제조일로부터 2년,콜마비앤에이치(주)푸디팜사업부문,네오뷰 프라임 멀티비타민플러스,,,,20170322,2.01E+14,밝은주황색의 제피정제,4071
4071,제조일로부터 2년,콜마비앤에이치(주)푸디팜사업부문,네오뷰 프라임 엔에이 플러스,,,,20160121,2.01E+13,연한노란 연두색의 제피정제,4072
4072,제조일로부터 18개월,콜마비앤에이치(주)푸디팜사업부문,네오뷰 프라임 프로바이오틱스 플러스,,,,20160114,2.01E+13,미황색의 분말,4073
4073,제조일로부터 24개월까지,(주)한국씨엔에스팜,네오뷰프라임 엑소놀,,,,20170131,2.00E+14,회갈색의 원형 제피정제,4074
4074,제조일로부터 24개월까지,(주)한국씨엔에스팜,네오뷰프라임 엑소놀골드,,,,20170131,2.00E+14,회색의 내용물을 함유한 갈색투명의 경질캡슐,4075
4075,제조일로부터 24개월,(주)비오팜,네오뷰프라임디에스플러스,,,,20161107,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 연갈색의 제피정제",4076
4076,제조일로부터 2년,콜마비앤에이치(주)푸디팜사업부문,네오뷰프라임오메가3세븐플러스,,,,20170106,2.01E+14,주황색의 유상 내용물이 든 갈색의 타원형 연질캡슐,4077
4077,제조일로부터 24개월까지,극동에치팜(주),네오브렌,,,,20180119,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 미갈색의 내용액을 함유한 갈색 연질캡슐",4078
4078,제조일로부터 24개월까지,극동에치팜(주),네오브렌 플러스,,,,20171218,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 미갈색의 내용액을 함유한 갈색 연질캡슐",4079
4079,제조일로부터 24개월까지,동서바이오팜(주),네오비타C,,,,20150522,2.00E+13,미백색의 분말,4080
4080,제조일로부터 2년,콜마비앤에이치(주)푸디팜사업부문,네오식스버닝다이어트,,,,20190419,2.01E+14,"이미, 이취가 없고 고유의 향미가 있는 갈색과 흰색의 점박이가 있는 미황색의 제피정제",4081
4081,24개월,(주)한국파비스알엔디,네오아미플러스정,,,,20150522,2.00E+12,미황색의 정제,4082
4082,3년,(주)비트로시스,네오알지삼,,,,20150522,2.01E+12,갈색의 내용물을 함유한 암갈색의 연질캅셀,4083
4083,제조일로부터 24개월까지,(주)유유헬스케어,네오에디션,,,,20160412,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 미황색의 하드캡슐",4084
4084,제조일로부터 24개월,동서바이오팜(주),네오징크,,,,20150522,2.00E+13,연노란색의 정제,4085
4085,제조일로부터 2년,한국클로렐라,네오클로렐라,,,,20150522,2.00E+11,녹색의 과립,4086
4086,제조일로부터 2년,한국클로렐라,네오클로렐라정,,,,20150522,2.00E+11,녹색의 정제,4087
4087,제조일로부터 24개월,동서바이오팜(주),네오키디,,,,20150522,2.00E+13,미황색의 과립분말,4088
4088,제조일로부터 36개월,(주)네이처텍 병천공장,네오플렉스(NEOFLEX),,,,20150522,2.00E+11,황색~암황색을 가지는 분말,4089
4089,제조일로부터 24개월까지,(주)한풍네이처팜,네이비라인,,,,20180823,2.01E+13,"이미, 이취가 없고 고유의 향미가 있는 연한 회갈색의 타원형 정제",4090
4090,제조일로부터 2년,주식회사 노바렉스,네이처 멀티비타민,,,,20150522,2.00E+13,흰노란색의 원형 정제,4091
4091,제조일로부터 2년,주식회사 노바렉스,네이처 종합비타민,,,,20150522,2.00E+13,회분홍색의 원형정제,4092
4092,제조일로부터 2년,주식회사 노바렉스,네이처 칼슘플러스,,,,20150522,2.00E+13,백색의 츄어블정제,4093
4093,제조일로부터 24개월까지,주식회사한미양행,네이처드림 간에 좋은 밀크씨슬,,,,20170403,2.00E+13,"이미, 이취가 없고, 고유의 향미가 있는 연한 노란색의 타원형 제피정제",4094
4094,제조일로부터 24개월까지,(주)케이지앤에프,네이처드림 간에 좋은 밀크씨슬,,,,20190322,2.00E+13,"이미, 이취가 없고, 고유의 향미가 있는 연노랑색의 타원형 제피정제",4095
4095,제조일로부터 2년,(주)허브큐어,네이처드림 눈에좋은 루테인11,네이처드림,눈에좋은 루테인11,http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/19/8/9/0/2/4/1/fsbnf/2092890241_B.jpg,20180406,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 빨간주황색의 내용물을 함유하는 적갈색의 연질캡슐",4096
4096,제조일로부터 24개월까지,(주)허브큐어,네이처드림 몸에 좋은 멀티비타민17,네이처드림,몸에 좋은 멀티비타민17,http://img.danawa.com/prod_img/500000/794/665/img/6665794_1.jpg?shrink=500:500&_v=20181120140822,20180709,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 밝은 회황색의 정제",4097
4097,제조일로부터 2년 까지,(주)허브큐어,네이처드림 뼈에좋은 비타민D,네이처드림,뼈에 좋은 비타민D,http://img.danawa.com/prod_img/500000/214/666/img/6666214_1.jpg?shrink=500:500&_v=20181120143214,20171222,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 노란하양색의 장방형 정제.",4098
4098,제조일로부터 24개월,주식회사한미양행,네이처드림 뼈에좋은 칼슘 마그네슘 비타민D 아연,네이처드림,뼈에 좋은 칼슘 마그네슘 비타민D 아연,http://img.danawa.com/prod_img/500000/775/825/img/5825775_1.jpg?shrink=500:500&_v=20180122123000,20170821,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 백색의 타원형 제피정제",4099
4099,제조일로부터 24개월,주식회사한미양행,네이처드림 장에 좋은 프로바이오틱스,네이처드림,장에 좋은 프로바이오틱스,http://img.danawa.com/prod_img/500000/858/825/img/5825858_1.jpg?shrink=500:500&_v=20180403143524,20170602,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 밝은 회황색의 분말을 함유한 미황색 경질캡슐.",4100
4100,제조일로부터 24개월,(주)케이지앤에프,네이처드림 장에 좋은 프리바이오틱스,,,,20190308,2.00E+13,"이미, 이취가 없고 요구르트 향과 맛을 내는 백색 분말.",4101
4101,제조일로부터 24개월까지,(주)허브큐어,네이처드림 장에좋은 생유산균 키즈,,,,20190806,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 미백색의 분말.",4102
4102,제조일로부터 24개월까지,(주)허브큐어,네이처드림 장에좋은 생유산균12,,,,20180129,2.00E+13,"이미, 이취가 없고 노란주황색 알맹이를 포함한 미황색의 분말",4103
4103,제조일로부터 2년까지,(주)허브큐어,네이처드림 장에좋은 프리바이오틱스,,,,20190828,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 백색의 분말.",4104
4104,제조일로부터 24개월까지,주식회사한미양행,네이처드림 혈행에 좋은 오메가3,,,,20170821,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 미황색의 내용물을 함유한 투명의 연질캡슐",4105
4105,제조일로부터 2년까지,(주)허브큐어,네이처드림 활력에 좋은 비타민B컴플렉스,,,,20180302,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 연한 황색의 정제",4106
4106,제조일로부터 2년.,코스맥스바이오(주),네이처런스 비타민C,,,,20150522,2.00E+14,미회색의 정제.,4107
4107,제조일로부터 2년.,코스맥스바이오(주),네이처런스 아이언,,,,20150522,2.00E+14,회색의 제피정제.,4108
4108,제조일로부터 2년,코스맥스바이오(주),네이처런스 폴릭,,,,20150522,2.00E+14,연노란색의 제피정제.,4109
4109,제조일로부터 24개월,(주)알피바이오 제2공장,네이처런스멀티비타민&미네랄,,,,20150626,2.00E+13,검은 점이 있는 흐린 노란색의 제피정제,4110
4110,제조일로부터 2년.,코스맥스바이오(주),네이처런스멀티비타민&미네랄,,,,20150522,2.00E+14,흐린 황갈색의 정제.,4111
4111,제조일로부터 24개월,(주)알피바이오 제2공장,네이처런스비타민C,,,,20150617,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 연한 노란색의 제피정제",4112
4112,제조일로부터 18개월까지,주식회사한미양행,네이처멀티비타플러스,,,,20150522,2.00E+13,"노란색의 장방형 정제품으로 이미, 이취가 없다.",4113
4113,제조일로부터 2년,(주)허브큐어,네이처바이오 밀크씨슬,,,,20180105,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 회황색의 타원형 제피정제.",4114
4114,24개월,네이처퓨어코리아(주),네이처스 멀티비타민,,,,20150522,2.01E+12,미황색의 원형 정제,4115
4115,제조일로부터 2년,주식회사 노바렉스,네이처원W,,,,20150522,2.00E+13,점박이가 있는 황녹색의 장방형 투명코팅 정제,4116
4116,24개월,이원바이오,네이처파운드게이너,,,,20170823,2.01E+12,"이미, 이취가 없고 초코 향미가 있는 황회색 분말",4117
4117,24개월,이원바이오,네이처파운드웨이,,,,20170823,2.01E+12,"이미, 이취가 없고 고유의향미가 있는 흑갈색의 분말을 포함한 황회색의 분말",4118
4118,제조일로부터 24개월,엠에스바이오텍(주),네이처포맨비타민&미네랄,,,,20150522,2.00E+13,"황색 장방형의 정제로 이미, 이취가 없음",4119
4119,제조일로부터 2년,콜마비앤에이치(주)푸디팜사업부문,네이쳐스 멀티비타민,,,,20150522,2.01E+13,연한갈색의 코팅정제,4120
4120,제조일로부터 24개월,(주)한국씨엔에스팜,네이쳐스플렉스 멀티비타민앤미네랄,,,,20150522,2.00E+13,미황색의 원형 츄어블 정제,4121
4121,제조일로부터 2년,주식회사 노바렉스,네이트리 멀티비타민앤미네랄,,,,20150522,2.00E+14,황색의 장방형 제피 정제,4122
4122,제조일로부터 24개월,네이처퓨어코리아(주),네이트리 폴릭 애시드,,,,20150522,2.01E+13,연한 녹색의 타원형의 코팅정제,4123
4123,제조일로부터 24개월,네이처퓨어코리아(주),네이트리멀티비타민앤미네랄,,,,20150522,2.01E+13,"미백색의 장방형 정제로 이미, 이취가 없다.",4124
4124,제조일로부터 2년,콜마비앤에이치(주)푸디팜사업부문,네추럴 리놀렌산,,,,20150522,2.01E+13,무색~미황색의 투명한 내용물이 든 투명한 타원형 연질캡슐,4125
4125,제조일로부터 2년,주식회사 네추럴웨이,네추럴웨이글루코사민조인포스,,,,20150522,2.00E+11,갈색의 환형 정제,4126
4126,24개월,주식회사 네추럴웨이,네추럴웨이화이바,,,,20150522,2.00E+12,연한 회색 분말 제품,4127
4127,제조일로부터 24개월,(주)한국씨엔에스팜,네추럴파워비타칼,,,,20150522,2.00E+13,미황색 타원형 정제,4128
4128,제조일로부터18개월,한국코러스(주) 건강기능식품사업부,네츄라비스,,,,20150522,2.01E+11,적갈색의 젤리,4129
4129,제조일로부터 2년,주식회사 노바렉스,네츄럴 메가비타-3,,,,20150522,2.00E+13,회갈색 내용물을 함유한 갈색 연질캡슐,4130
4130,제조일로부터 2년,주식회사 노바렉스,네츄럴 비타맨,,,,20150522,2.00E+13,노란색 장방형 제피정제,4131
4131,제조일로부터 2년,주식회사 노바렉스,네츄럴 비타우먼,,,,20150522,2.00E+13,노란색 장방형 제피정제,4132
4132,제조일로부터 2년,주식회사 노바렉스,네츄럴 비타키즈츄어블,,,,20150522,2.00E+13,연보라색의 츄어블정제,4133
4133,24개월,(주)다스코바이오,넥시놀(Nexinol),,,,20150522,2.01E+12,회색의 내용물을 포함한 투명한 경질캅셀,4134
4134,제조일로부터 18개월,엠에스바이오텍(주)제2공장,넥시다이어트 그린&그린,,,,20190507,2.01E+12,연한 황색-흑갈색 알갱이가 보이는 옅은 분홍빛 갈색분말을 함유한 백색 캅셀,4135
4135,24개월,(주)케비젠,노궁메모리,,,,20170914,2.02E+11,"이미, 이취가 없고 고유의 향미가 있는 연갈색의 분말을 함유한 유백색의 경질캅셀",4136
4136,18개월,(주)케비젠,노궁바이오틱스,,,,20181213,2.02E+12,"이미, 이취가 없고 고유의 향미가 있는 연한 갈색의 분말",4137
4137,24개월,(주)HK바이오텍,노나쓰리(Nona-3),,,,20150522,2.00E+12,주황색의 내용물을 함유한 갈색반투명의 연질캡슐,4138
4138,24개월까지,(주)한국씨엔에스팜,노노타임,,,,20170724,2.00E+14,적색의 장방형 제피정제,4139
4139,제조일로부터 24개월,극동에치팜(주),노르딕 솔루션 오메가3 얼티메이트,,,,20150522,2.00E+13,"미황색의 내용물을 함유한 투명의 연질캡슐로 이미, 이취가 없음",4140
4140,제조일로부터 2년,주식회사 노바렉스2공장,노르웨이 오메가-3,,,,20180905,2.01E+13,황색의 내용물을 함유한 투명의 연질캡슐,4141
4141,제조일로부터 2년,주식회사 노바렉스,노르웨이 오메가-3 블루,,,,20150522,2.00E+13,황색의 내용물을 함유한 투명한 연질캡슐,4142
4142,제조일로부터 2년,주식회사 노바렉스2공장,노르웨이 오메가-3 포우먼,,,,20180827,2.01E+13,황색의 내용물을 함유한 흑갈색의 연질캡슐,4143
4143,제조일로부터 2년,주식회사 노바렉스2공장,노르웨이 오메가3 540mg,,,,20180827,2.01E+13,연한황색의 내용물을 함유한 투명의 연질캡슐,4144
