,DISTB_PD,ENTRPS,브랜드명,제품명,이미지링크,PRDUCT,REGIST_DT,STTEMNT_NO,SUNGSANG,index
14064,24개월,극동에치팜(주),중외제약,,http://img.danawa.com/prod_img/500000/030/657/img/3657030_1.jpg?shrink=160:160&_v=20170216095322,아이센스루테인플러스베타카로틴,20150522,2.00E+13,"암적색 내용물을 함유한 적갈색의 연질캡슐로 이미, 이취가 없음",14065
14083,제조일로부터 2년,주식회사 노바렉스2공장,CJ제일제당,,http://img.danawa.com/prod_img/500000/202/875/img/8875202_1.jpg?shrink=160:160&_v=20190729115510,아이시안 메가케어,20170413,2.01E+13,빨간 주황색의 내용물을 함유한 갈흑색의 연질캡슐,14084
14084,제조일로부터 24개월,(주)서흥,CJ제일제당,,http://img.danawa.com/prod_img/500000/257/679/img/3679257_1.jpg?shrink=160:160&_v=20181101101519,아이시안루테인,20150522,2.00E+13,적색의 점조성 내용물을 함유한 타원형의 암갈색 연질캅셀제,14085
14085,제조일부터 24개월,(주)서흥,CJ제일제당,,http://img.danawa.com/prod_img/500000/302/877/img/8877302_1.jpg?shrink=160:160&_v=20190729134420,아이시안루테인 비타민A 플러스케어,20190327,2.00E+14,적갈색의 점조성 내용물을 함유한 암갈색의 연질캡슐,14086
14159,제조일로부터 24개월,한국바이오팜(주),티지알앤,,http://img.danawa.com/prod_img/500000/098/678/img/3678098_1.jpg?shrink=160:160&_v=20190102145755,아이조아 루테인 8플러스,20151001,2.00E+13,적갈색의 연질캡슐,14160
14204,제조일로부터 24개월까지 (유통기한 설정 사유 : 별첨),종근당건강(주),종근당건강,,http://img.danawa.com/prod_img/500000/675/650/img/5650675_1.jpg?shrink=160:160&_v=20180614153552,아이클리어,20151022,2.00E+13,이미 이취가 없는 적색 내용물을 함유한 적갈색 연질캡슐,14205
14205,제조일부터 24개월,(주)서흥,종근당건강,,http://img.danawa.com/prod_img/500000/961/912/img/6912961_1.jpg?shrink=160:160&_v=20190329190631,아이클리어 2.0버전,20180824,2.00E+14,암적색의 점조성 내용물을 함유한 적갈색의 연질캡슐,14206
14210,제조일로부터 24개월,(주)한국씨엔에스팜,종근당건강,,http://img.danawa.com/prod_img/500000/152/908/img/4908152_1.jpg?shrink=160:160&_v=20180614153848,아이클리어 마스터,20160804,2.00E+14,적색의 내용물을 함유한 적갈색의 연질캡슐,14211
14250,제조일부터 24개월,(주)서흥,휴럼,,http://img.danawa.com/prod_img/500000/714/501/img/6501714_1.jpg?shrink=160:160&_v=20190604174623,아이편안 루테인지아잔틴,20180717,2.00E+14,적색 점조성 내용물을 함유한 암갈색 연질캡슐,14251
14253,제조일로부터 24개월까지,(주)한국씨엔에스팜,안국건강,,http://img.danawa.com/prod_img/500000/340/545/img/7545340_1.jpg?shrink=160:160&_v=20190326134501,아이포커스,20190307,2.00E+14,적색의 내용물을 함유한 검정색 투명의 연질캡슐,14254
14370,제조일로부터 24개월,(주)알피바이오,안국건강,,http://img.danawa.com/prod_img/500000/721/181/img/4181721_1.jpg?shrink=160:160&_v=20180523152828,안국 루테인 미니 100,20160517,2.00E+13,"이미, 이취가 없는 적색의 내용물을 함유한 적갈색의 타원형 연질캡슐",14371
14374,제조일로부터 24개월,(주)알피바이오,안국건강,쏘팔메토 전린섭건강,http://img.danawa.com/prod_img/500000/898/968/img/7968898_1.jpg?shrink=500:500,안국 쏘팔메토 전립선건강,20170110,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 미황색의 오일을 함유한 적갈색의 타원형 연질캡슐",14375
14385,제조일로부터 2년,코스맥스바이오(주),안국건강,,http://img.danawa.com/prod_img/500000/257/944/img/6944257_1.jpg?shrink=160:160&_v=20190326141100,안국눈에좋은루테인플러스,20190905,2.00E+14,빨강 주황색 유상 내용물을 함유한 암갈색의 연질캡슐,14386
14388,제조일로부터 2년,코스맥스바이오(주),안국건강,,http://img.danawa.com/prod_img/500000/478/957/img/6957478_1.jpg?shrink=160:160&_v=20190102165614,안국더퍼스트루테인,20180509,2.00E+14,적갈색의 내용물을 함유한 암갈색의 연질캡슐,14389
14391,제조일로부터 2년.,코스맥스바이오(주),안국건강,안국건강 안국 밀크씨슬 60캡슐?,http://img.danawa.com/prod_img/500000/094/628/img/3628094_1.jpg?shrink=500:500&_v=20181129113115,안국밀크씨슬,20161007,2.00E+14,황갈색의 유상내용물을 함유한 암갈색의 연질캡슐.,14392
14395,제조일로부터 2년.,코스맥스바이오(주),안국건강,,http://img.danawa.com/prod_img/500000/948/939/img/8939948_1.jpg?shrink=160:160&_v=20190731174842,안국아이노우,20180824,2.00E+14,주황색 내용물을 함유한 암갈색의 연질캡슐,14396
14638,제조일로부터 24개월,(주)알피바이오,헬스밸런스,헬스밸런스 베스쳐 알티지 오메가-3 플래티넘,http://img.danawa.com/prod_img/500000/471/857/img/5857471_1.jpg?shrink=500:500,알티지 오메가-3 플래티넘,20190326,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황색의 오일을 함유한 투명한 연질캡슐",14639
14741,제조일로부터 2년,콜마비앤에이치(주)선바이오텍사업부문,애터미,,http://img.danawa.com/prod_img/500000/373/668/img/3668373_1.jpg?shrink=160:160&_v=20181102115448,애터미 아이 루테인,20150522,2.01E+11,검은 갈색의 내용물을 함유한 검은 보라색의 연질캡슐,14742
14749,제조일로부터 2년,콜마비앤에이치(주)선바이오텍사업부문,애터미,오-쏘팔메토,http://img.danawa.com/prod_img/500000/309/667/img/3667309_1.jpg?shrink=160:160&_v=20181108170640,애터미 오-쏘팔메토,20150522,2.01E+11,암갈색의 내용물을 함유한 흑갈색의 연질캡슐,14750
14770,제조일로부터 2년,콜마비앤에이치(주)푸디팜사업부문,애터미,?애터미 홍경천 밀크씨슬 120정?,http://img.danawa.com/prod_img/500000/413/667/img/3667413_1.jpg?shrink=500:500&_v=20180604120444,애터미 홍경천 밀크씨슬,20150522,2.01E+13,적색의 코팅정제,14771
15785,제조일로부터 2년,주식회사 노바렉스2공장,연세생활건강,연세생활건강 연세 밀크씨슬 60캡슐,http://img.danawa.com/prod_img/500000/409/509/img/9509409_1.jpg?shrink=500:500&_v=20190918133632,연세 밀크씨슬,20180525,2.01E+13,황갈색의 내용물을 함유한 적갈색의 연질캡슐,15786
16078,제조일로부터 2년,주식회사 노바렉스2공장,프라임헬스,,http://img.danawa.com/prod_img/500000/469/873/img/5873469_1.jpg?shrink=160:160&_v=20180604163953,오메가3 트리플골드,20170717,2.01E+13,황갈색의 내용물을 함유한 흑갈색의 연질캡슐,16079
16113,제조일로부터 2년,종근당건강(주),종근당,종근당건강 오메가3 골드업 플러스,http://img.danawa.com/prod_img/500000/637/499/img/3499637_1.jpg?shrink=500:500,오메가3골드플러스,20150522,2.00E+13,미황색의 액상이 들어있는 연질캡슐,16114
16221,제조일로부터 24개월,(주)한국씨엔에스팜,국제약품,,http://img.danawa.com/prod_img/500000/801/782/img/2782801_1.jpg?shrink=160:160&_v=20180713151235,오큐테인3,20150522,2.00E+14,적갈색의 내용액을 함유한 진녹색의 연질캡슐,16222
16368,제조일로부터 24개월,주식회사한미양행,삼성제약,삼성제약 올바른 밀크씨슬9 30정?,http://img.danawa.com/prod_img/500000/625/369/img/6369625_1.jpg?shrink=500:500&_v=20180807175056,올바른 밀크씨슬9,20180105,2.00E+13,"이미, 이취가 없으며 고유의 향미를 지닌 연한 노란색의 타원형 제피정제",16369
16523,제조일로부터 24개월,주식회사한미양행,삼성제약헬스케어,우리가족 건강사랑 쏘팔메토 맨파워,http://img.danawa.com/prod_img/500000/017/970/img/7970017_1.jpg?shrink=500:500,우리가족 건강사랑 쏘팔메토 맨파워,20180515,2.00E+14,"이미, 이취가 없고 고유의 향미가 있는 진노란색 내용물을 함유한 적갈색의 연질캡슐",16524
16695,제조일로부터 24개월,동서바이오팜(주),대웅생명과학,대웅생명과학 웅기보 2정?,http://img.danawa.com/prod_img/500000/050/726/img/5726050_1.jpg?shrink=500:500&_v=20171213093108,웅기보,20150522,2.00E+13,미황색의 제피정제,16696
17312,제조일로부터 24개월,코스맥스엔비티(주),유한메디카,유한m 메가 쏘팔메토,http://img.danawa.com/prod_img/500000/879/153/img/3153879_1.jpg?shrink=500:500,유한m 메가 쏘팔메토,20150522,2.01E+13,적갈색의 내용물을 함유한 암적색의 연질캡슐,17313
17323,24개월,코스맥스엔비티(주),유한메디카,,http://img.danawa.com/prod_img/500000/744/961/img/6961744_1.jpg?shrink=160:160&_v=20190103113702,유한m 슈퍼아이루테인,20150522,2.01E+12,적황색의 내용물을 함유한 적갈색의 연질캅셀,17324
17390,24개월,코스맥스엔비티(주),유한메디카,,http://img.danawa.com/prod_img/500000/098/678/img/3678098_1.jpg?shrink=160:160&_v=20190102145755,유한m뷰라이트루테인,20150522,2.01E+12,적황색의 내용물을 함유한 적갈색의 연질캅셀,17391
17402,제조일로부터 24개월까지,주식회사한미양행,유한메디카,,http://img.danawa.com/prod_img/500000/006/646/img/3646006_1.jpg?shrink=160:160&_v=20190102145843,유한m슈퍼비젼아이루테인,20150522,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 주황색의 내용물을 함유한 암갈색의 연질캡슐",17403
17410,제조일로부터 24개월까지,(주)한국씨엔에스팜,유한메디카,쏘팔메토 아연골드,http://img.danawa.com/prod_img/500000/224/324/img/6324224_1.jpg?shrink=500:500,유한m쏘팔메토아연골드,20170131,2.00E+14,노란색 내용물을 함유한 갈색의 연질캡슐,17411
17412,24개월,코스맥스엔비티(주),유한메디카,유한m 쏘팔메토 파워 탑,http://img.danawa.com/prod_img/500000/469/960/img/6960469_1.jpg?shrink=500:500,유한m쏘팔메토파워탑,20150522,2.01E+13,"이미, 이취가 없고 고유의 향미가 있는 노란주황색의 내용물을 함유한 흑갈색의 연질캡슐",17413
17951,제조일로부터 2년,주식회사 노바렉스,일동제약,,http://img.danawa.com/prod_img/500000/316/289/img/2289316_1.jpg?shrink=160:160&_v=20170411155201,일동 아이레즈,20150522,2.00E+14,적황색의 내용물을 함유한 갈색의 연질캡슐,17952
17998,제조일로부터 24개월,일양약품(주),일양약품,쏘팔메토 프리미엄,http://img.danawa.com/prod_img/500000/792/092/img/4092792_1.jpg?shrink=500:500&_v=20170412162231,일양 쏘팔메토 프리미엄,20150522,2.00E+12,황색의 내용액을 함유한 적갈색의 연질캡슐,17999
18019,제조일로부터 24개월,일양약품(주),일양약품,,http://img.danawa.com/prod_img/500000/333/440/img/5440333_1.jpg?shrink=160:160&_v=20180817150424,일양루테인플러스,20150724,2.00E+13,"고유의 향미가 있는 밝은 적갈색의 내용물을 함유한 암적색의 연질캡슐로 이미,이취가 없어야 한다",18020
18114,제조일로부터 24개월,주식회사한미양행,자연가득,자연가득 전립 쏘팔메토,http://img.danawa.com/prod_img/500000/758/967/img/7967758_1.jpg?shrink=500:500,자연가득 전립쏘팔메토,20180802,2.00E+14,"이미, 이취가 없고 고유의 향미가 있는 진노랑색의 내용물을 함유한 적갈색의 연질캡슐",18115
18368,제조일로부터 2년,주식회사 노바렉스2공장,CJ제일제당,전립소 쏘팔메토 60캡슐,http://img.danawa.com/prod_img/500000/075/679/img/3679075_1.jpg?shrink=500:500&_v=20180322090344,전립소 쏘팔메토,20190812,2.01E+13,선명한 노란 주황색의 내용물을 함유한 갈흑색의 연질캡슐,18369
18373,제조일로부터2년,주식회사 노바렉스,CJ제일제당,전립소 쏘팔메토 스페셜,http://img.danawa.com/prod_img/500000/492/723/img/5723492_1.jpg?shrink=500:500,전립소쏘팔메토 스페셜,20150522,2.00E+14,"어두운 녹갈색의 내용물을 함유한 갈색의 연질캡슐, 갈색 장방형의 녹색 제피정제",18374
19677,제조일부터 24개월,(주)네추럴에프앤피,넥스트BT,청춘팔팔 플러스,http://img.danawa.com/prod_img/500000/746/966/img/5966746_1.jpg?shrink=500:500,청춘팔팔플러스,20171013,2.00E+14,연한 황갈색의 내용물을 함유한 진한 빨간색의 연질캡슐,19678
19948,제조일로부터 2년,콜마비앤에이치(주)푸디팜사업부문,종근당,종근당 칸편한 플러스 60정?,http://img.danawa.com/prod_img/500000/069/796/img/5796069_1.jpg?shrink=500:500&_v=20180403143524,칸편한+플러스,20170511,2.01E+14,황색의 장방형 코팅정제,19949
21298,제조일로부터 24개월,콜마비앤에이치(주)푸디팜사업부문,Denps,,http://img.danawa.com/prod_img/500000/731/391/img/7391731_1.jpg?shrink=160:160&_v=20190306160322,트루오메가Q10,20190116,2.01E+14,"이미, 이취가 없고 고유의 향미가 있으며 주황색의 내용물을 함유한 적색의 연질캡슐",21299
21335,제조일로부터 24개월,코스맥스엔비티(주),뉴트리원라이프,,http://img.danawa.com/prod_img/500000/491/941/img/6941491_1.jpg?shrink=160:160&_v=20190604155054,트리플 루테인 오메가3,20180620,2.01E+14,"이미, 이취가 없고 고유의 향미가 있는 붉은색의 내용물을 함유한 암적색의 연질캡슐",21336
21647,제조일로부터 24개월까지,(주)한국씨엔에스팜,오뚜기,네이처바이 파워맨 쏘팔메토,http://img.danawa.com/prod_img/500000/951/933/img/1933951_1.jpg?shrink=500:500,파워맨쏘팔메토,20150522,2.00E+14,적갈색의 내용물을 함유한 갈색 반투명의 연질캡슐,21648
21655,제조일로부터 24개월,(주)한풍네이처팜,시너지월드와이즈,파워메토F,http://img.danawa.com/prod_img/500000/956/764/img/3764956_1.jpg?shrink=500:500,파워메토F,20150522,2.01E+12,"이미, 이취가 없고 고유의 향미가 있는 갈색의 내용물을 함유한 검정색의 장방형 연질캡슐",21656
21656,제조일로부터 24개월,(주)한풍네이처팜,시너지월드와이즈,파워메토 플러스,http://img.danawa.com/prod_img/500000/154/328/img/6328154_1.jpg?shrink=500:500,파워메토플러스,20161025,2.01E+13,"이미, 이취가 없고 고유의 향미가 있는 밝은 녹갈색의 내용물을 함유한 검정색의 연질캡슐",21657
21687,제조일로부터 24개월,(주)한국씨엔에스팜,비엠에스,파워업 쏘팔메토 골드,http://img.danawa.com/prod_img/500000/321/967/img/6967321_1.jpg?shrink=500:500,파워업 쏘팔메토,20150522,2.00E+13,적갈색의 내용액을 함유한 적색의 연질캡슐,21688
21846,24개월,(주)유니쎌팜,엠제이테크,팔팔포맨 쏘팔메토,http://img.danawa.com/prod_img/500000/272/328/img/6328272_1.jpg?shrink=500:500,팔팔포맨,20181203,2.00E+13,"이미 이취가 없고, 고유의 향미가 있는 미황색의 내용물을 함유한  적색 연질캡슐",21847
22134,제조일로부터 24개월까지,극동에치팜(주),일양약품,일양약품 포유칸 60캡슐?,http://img.danawa.com/prod_img/500000/545/101/img/4101545_1.jpg?shrink=500:500&_v=20180529103808,포유칸,20160418,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황갈색의 내용물을 함유한 적갈색의 연질캡슐",22135
22256,제조일로부터 24개월,(주)서흥,고려은단,,http://img.danawa.com/prod_img/500000/935/952/img/7952935_1.jpg?shrink=160:160&_v=20190517162407,퓨어 루테인,20181221,2.00E+14,적갈색의 내용물을 함유한 흑갈색의 연질캡슐,22257
22339,제조일로부터 2년까지,(주)허브큐어,더베이글 트루앤라이프,더베이글 트루앤라이프 프라임 건강한 간 밀크씨슬 스페셜 30정?,http://img.danawa.com/prod_img/500000/875/795/img/5795875_1.jpg?shrink=500:500&_v=20180323134045,프라임 건강한 간 밀크씨슬 스페셜,20190328,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 연한 노랑색의 타원형 제피정제",22340
22341,제조일로부터 2년까지,(주)허브큐어,더베이글,,http://img.danawa.com/prod_img/500000/350/949/img/4949350_1.jpg?shrink=160:160&_v=20181102113748,프라임 건강한 눈 루테인 스페셜,20190328,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 빨간 주황색의 내용물을 함유하는 적갈색의 연질캡슐",22342
22342,제조일로부터 2년,주식회사 노바렉스2공장,더베이글,,http://img.danawa.com/prod_img/500000/133/084/img/5084133_1.jpg?shrink=160:160&_v=20181102113547,프라임 건강한 눈 루테인 스페셜,20161219,2.01E+13,흐린 적갈색의 내용물을 함유한 빨간 갈색의 연질캡슐,22343
22346,제조일로부터 24개월까지,극동에치팜(주),일양약품,,http://img.danawa.com/prod_img/500000/277/467/img/9467277_1.jpg?shrink=160:160&_v=20190909172747,프라임 루테인 플러스,20190117,2.00E+13,"주황색의 내용물을 함유한 적갈색 연질캡슐로 이미, 이취가 없음.",22347
22351,제조일로부터 2년,(주)허브큐어,일양약품,일양약품 프라임 밀크씨슬 플러스 30정?,http://img.danawa.com/prod_img/500000/683/466/img/9466683_1.jpg?shrink=500:500&_v=20190909170613,프라임 밀크씨슬 플러스,20181227,2.00E+13,"이미,	이취가 없고 고유의 향미가 있는 진한노란색의 타원형 제피정제.",22352
22356,24개월,(주)유니쎌팜,더베이글,트루앤라이프 프라임 쏘팔메토 스페셜,http://img.danawa.com/prod_img/500000/152/843/img/5843152_1.jpg?shrink=500:500,프라임 쏘팔메토 스페셜,20181108,2.00E+13,"이미, 이취가 없고 고유의 향미가 있으며 미황색의 내용물을 함유한 적갈색의 연질캡슐",22357
22488,제조일부터 24개월,(주)서흥,종근당,종근당건강 프로메가 기억력 오메가3,http://img.danawa.com/prod_img/500000/327/805/img/4805327_1.jpg?shrink=500:500,프로메가 기억력오메가3,20190114,2.00E+14,미황색 유상액을 함유한 투명의 장방형 연질캡슐,22489
22492,제조일로부터 24개월까지,종근당건강(주),종근당건강,종근당건강 프로메가 리얼 오메가3,http://img.danawa.com/prod_img/500000/404/745/img/5745404_1.jpg?shrink=500:500,프로메가 리얼 오메가3,20170707,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 미황색 유상 내용물을 함유한 투명의 연질캡슐",22493
22498,제조일로부터 2년,종근당건강(주),종근당건강,종근당건강 아이케어 오메가3 로얄,http://img.danawa.com/prod_img/500000/259/866/img/1866259_1.jpg?shrink=500:500&_v=20170608093511,프로메가 오메가3 파워,20170330,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 미황색의 투명 유상액을 함유한 투명의 장방형 연질캡슐",22499
22935,제조일로부터 24개월 까지,극동에치팜(주),네추럴라이프,,http://img.danawa.com/prod_img/500000/839/330/img/2330839_1.jpg?shrink=160:160&_v=20180213110624,프리미엄 루테인 플러스,20151001,2.00E+13,"적색의 내용물을 함유한 진갈색의 연질캡슐로 이미, 이취가 없음",22936
22990,24,(주)유니쎌팜,더베이글,뉴트리디데이 프리미엄 쏘팔메토 골드,http://img.danawa.com/prod_img/500000/854/967/img/7967854_1.jpg?shrink=500:500,프리미엄 쏘팔메토 골드,20190201,2.00E+13,"이미,이취가 없고 고유의 향미가 있으며 미황색의 내용물을 함유한 검정색의 연질캡슐",22991
22991,제조일로부터 24개월까지,(주)한국씨엔에스팜,중외제약,프리미엄 쏘팔메토,http://img.danawa.com/prod_img/500000/012/969/img/7969012_1.jpg?shrink=500:500&_v=20190710103902,프리미엄 쏘팔메토 옥타코사놀&아연,20150522,2.00E+13,연갈색의 내용액을 함유한 흑갈색의 연질캡슐,22992
23311,제조일로부터 24개월,주식회사한미양행,더순수,더순수렛츠미 플래티넘 쏘팔메토 9,http://img.danawa.com/prod_img/500000/842/323/img/6323842_1.jpg?shrink=500:500,플래티넘 쏘팔메토9,20171101,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 연한 노랑주황색 내용물을 함유한 적갈색의 연질캡슐",23312
23562,제조일로부터 24개월,주식회사한미양행,고철남헬스케어,하루한방 쏘팔메토,http://img.danawa.com/prod_img/500000/416/976/img/7976416_1.jpg?shrink=500:500,하루한방(one punch) 쏘팔메토,20181130,2.00E+14,"이미, 이취가 없으며 고유의 향미를 지닌 진노랑색 내용물을 함유한 흑색의 연질캡슐.",23563
23663,제조일로부터 2년,주식회사 노바렉스2공장,종근당,하이업 쏘팔메토,http://img.danawa.com/prod_img/500000/989/965/img/5965989_1.jpg?shrink=160:160&_v=20190521122857,하이업쏘팔메토,20171124,2.01E+13,밝은주황색의 내용물을 함유한 적색 연질캡슐,23664
23900,제조일로부터 24개월까지,주식회사한미양행,한미양행,한미양행 헤파케어 골드 180캡슐,http://img.danawa.com/prod_img/500000/995/149/img/3149995_1.jpg?shrink=500:500&_v=20180213154403,한미헤파케어골드,20150522,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황갈색의 내용물을 함유한 적갈색의 연질캡슐",23901
24404,제조일로부터 24개월까지,동서바이오팜(주),유한메디카 유한m,유한메디카 유한m 헤파타임 96캡슐,http://img.danawa.com/prod_img/500000/983/370/img/7370983_1.jpg?shrink=500:500&_v=20190304172945,헤파타임,20170607,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황색의 분말이 들어있는 적색의 경질캡슐.",24405
24705,제조일로부터 36개월,(주)알피바이오,프롬바이오,프롬바이오 혈행건강엔 알티지오메가3,http://img.danawa.com/prod_img/500000/987/823/img/6823987_1.jpg?shrink=500:500,혈행건강엔알티지오메가3,20190709,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황색의 내용물을 함유한 투명한 연질캡슐",24706
24870,24개월,(주)유니쎌팜,바이럭스,홈런킹,http://img.danawa.com/prod_img/500000/531/319/img/6319531_1.jpg?shrink=500:500,홈런킹,20171215,2.00E+13,미황색의 내용물을 함유한 초코릿색의 연질캡슐,24871
25863,제조일로부터 2년.,코스맥스바이오(주),함국인삼공사,정관장 홍천웅 이과수,http://img.danawa.com/prod_img/500000/555/627/img/5627555_1.jpg?shrink=500:500,홍천웅이과수,20170804,2.00E+14,진한 갈색 유상내용물을 함유한 갈흑색의 연질캡슐.,25864
