,index,REGIST_DT,PRDUCT,PRSRV_PD,MAIN_FNCTN,SUNGSANG,INTAKE_HINT1,SRV_USE,STTEMNT_NO,DISTB_PD,BASE_STANDARD,ENTRPS,STDR_STND
44,45,20180706,+착한비타민C,실온 (냉암소 보관시 더욱 좋습니다),①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③유해산소로부터 세포를 보호하는데 필요,"이미, 이취가 없고 고유의 향미가 있는 흐린 보라색의 분말","- 유통기한을 확인하시기 바라며, 섭취량 및 섭취방법을 준수하시기 바랍니다.
- 특정 원료 성분에 알레르기 체질인 경우 구입처 또는 이롬고객센터로 문의 후 구입하시기 바랍니다.
- 섭취 시 위장장애, 소화불량의 증상이 있을 경우 섭취를 중단하십시오.
- 본 제품은 섭취자의 신체 상태에 따라 반응에 차이가 있을 수 있습니다.
- 섭취 전 제품에 이상이 있는 경우 섭취를 금하십시오.
- 어린이의 경우 섭취 시 보호자의 지도하에 섭취하십시오.
- 제품의 개봉 또는 섭취 시 포장재에 의해 상처를 입을 수 있으니 주의하시기 바랍니다.","1일 1회, 1회 1포를 직접 섭취하거나 물과 함께 섭취하십시오.",2018001217411,제조일로부터 18개월까지,"①성상 : 이미, 이취가 없고 고유의 향미가 있는 흐린 보라색의 분말
②비타민C : 표시량(100mg/2.0g) 이상
③대장균군 : 음성",(주)메디오젠 충주공장,
45,46,20150522,+청율비백,"직사광선 및 고온다습한 곳을 피해 보관하십시오.
어린이 손에 닿지 않는 곳에 보관하십시오.",[백수오등 복합추출물]갱년기 여성의 건강에 도움을 줄 수 있음(기타Ⅱ),적갈색의 젤리,"[백수오등 복합추출물]임산부와 수유부는 섭취를 피하는 것이 좋습니다.항응고제 또는 항혈전제를 복용하시는 분은의사와 상의하시기 바랍니다.
제품의 특성상 낱포를 뜯을 때 과즙액이 일부 튈 수 있으므로 주의하시기 바랍니다.
제품의 원재료에 알레르기 체질이신 경우, 구입처 또는 이롬고객센터로 문의 후 구입하시기 바랍니다. 
섭취량 및 섭취방법을 확인한 후 섭취하시고, 기타 제품관련사항은 이롬고객센터로 문의하십시오.","1일 1회, 1회 1포(20g)를 적당량씩 밀어 올려 천천히 씹어 드십시오.",200400200021215,제조일로부터 18개월,"① 성상 : 고유의 색택과 향미를 가지고 이미, 이취가 없어야 한다.
② Cinnamic acid 함량(ug/20g) : 표시량(5.14) 이상
③ Shanzhiside methylester 함량(mg/20g) : 표시량(0.258) 이상
④ Nodakenin 함량(mg/20g) : 표시량(2.0046) 이상
⑤ 총수은(mg/kg) : 0.5 이하
⑥ 총비소(mg/kg) : 1.0 이하
⑦ 카드뮴(mg/kg) : 0.5 이하
⑧ 납(mg/kg) : 1.0 이하
⑨ 대장균군 : 음성",코스맥스바이오(주),
46,47,20160704,+청율비솔,수분 및 열에 의해 품질에 영향을 받을 수 있으므로 직사광선을 피해 서늘한 곳에 보관하십시오.  어린이 손에 닿지 않는 곳에 보관하십시오.,"1. 활성산소제거에 도움을 줄 수 있음(기타기능II)
뼈 건강에 도움을 줄 수 있음.

①유해산소로부터 세포를 보호하는데 필요

면역과민반응에 의한 피부상태 개선에 도움을 줄 수 있음
 (생리활성기능 2등급)


월경 전 변화에 의한 불편한 상태 개선에 도움을 줄 수 있음(생리활성기능 2등급)
,1) 피크노제놀-프랑스해안송껍질추출물 : 인체에 유해한 활성산소를 제거하는데 도움을 줄 수 있음, 갱년기 여성의 건강에 도움을 줄 수 있음. 
2) 감마리놀렌산함유유지 : 면역과민반응에 의한 피부상태 개선에 도움을 줄 수 있음, 월경 전 변화에 의한 불편한 상태 개선에 도움을 줄 수 있음, 혈중 콜레스테롤 개선 · 혈행개선에 도움을 줄 수 있음. 
3) 대두이소플라본 : 뼈 건강에 도움을 줄 수 있음. 
4) 비타민E : 유해산소로부터 세포를 보호하는데 필요.",갈색의 내용물을 함유한 투명색의 연질캡슐.,"①임산부와 12세 이하의 어린이는 섭취 전 의사와의 상담이 필요합니다.②수술 전후에는 섭취에 주의하시기 바랍니다.

①영유아, 어린이, 임산부와 수유여성은 섭취에 주의②대두에 알레르기를 나타내는 사람은 섭취에 주의③에스트로겐 호르몬에 민감한 사람은 섭취에 주의



영 유아, 어린이는 섭취 전 의사와 상담하여야 함","1일 3회, 1회 2캡슐을 충분한 물과 함께 섭취하십시오.  1일 2회, 1회 3캡슐을 충분한 물과 함께 섭취하십시오.",200400200021860,제조일로부터 2년.,"1) 성상 : 고유의 색택과 향미를 가지고 이미, 이취가 없어야 한다.
2) 총프로시아니딘 : 표시량(45mg/2700mg)의 80~120%
3) 감마리놀렌산 : 표시량(240mg/2700mg)의 80~120%
4) 대두이소플라본(비배당체로서) : 표시량(27mg/2700mg)의 80~120%
5) 비타민E : 표시량(11mg α-TE/2700mg)의 80~150%
6) 카테킨, 카페인산, 탁시폴린, 페룰릭산 : 확인
7) 납(mg/kg) : 0.5 이하
8) 총비소(mg/kg) : 0.5 이하
9) 카드뮴(mg/kg) : 0.1 이하
10) 총수은(mg/kg) : 0.2이하
11) 대장균군 : 음성
12) 붕해시험 : 20분 이내",코스맥스바이오(주),
47,48,20171023,+프로틴,직사광선 및 고온다습한 곳을 피해 보관하십시오.,"[조단백질] ①근육, 결합조직 등 신체조직의 구성성분②효소, 호르몬, 항체의 구성에 필요③체내 필수 영양성분이나 활성물질의 운반과 저장에 필요④체액, 산-염기의 균형 유지에 필요⑤에너지, 포도당, 지질의 합성에 필요

[식이섬유] ①식이섬유 보충",미황색의 분말,"특정 단백질에 알레르기를 나타내는 경우에는 섭취에 주의
반드시 충분한 물과 함께 섭취할 것 (액상제외)
·유통기한을 확인하시기 바라며, 섭취량 및 섭취방법을 준수하시기 바랍니다.
·본 제품은 섭취자의 신체상태에 따라 반응에 차이가 있을 수 있습니다.
·임산부, 수유부, 질병으로 인해 치료중인 분은 섭취 전 고객센터나 구입처로 문의하십시오.
·특정성분에 알레르기 체질이신 분은 섭취 전에 반드시 원료(성분)를 확인하신 후 섭취하시기 바랍니다.
·섭취량 및 섭취방법을 확인한 후 섭취하시고, 기타 제품관련사항은 고객센터로 문의해 주십시오.
·용기 안의 실리카겔(방습제)은 절대 드시지 마십시오.","1일1회, 1회1포(20g)를 물 200ml에 넣고 충분히 흔들어 섭취하십시오.",200400200071867,제조일로부터 24개월,"1) 성   상 : 미황색의 분말
	2) 조단백질 : 표시량의 80 ~ 120 % (표시량: 12 g / 20 g)
	3) 식이섬유 : 표시량의 80 % 이상 (표시량: 5 g / 20 g)
	4) 대장균군 : 음성",(주)한국씨엔에스팜,
48,49,20180817,+홍삼젤리,수분 및 열에 의해 영향을 받을 수 있으므로 직사광선을 피해 서늘한 곳에 보관하십시오. 어린이 손에 닿지 않는 곳에 보관하십시오.,",1) 홍삼 : 면역력 증진 · 피로개선 · 혈소판 응집억제를 통한 혈액흐름 · 기억력개선 · 항산화에 도움을 줄 수 있음
2) 비타민B2 : 체내 에너지 생성에 필요
3) 비타민B6 : 단백질 및 아미노산 이용에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
4) 비타민D : 칼슘과 인이 흡수되고 이용되는데 필요, 뼈의 형성과 유지에 필요, 골다공증발생 위험 감소에 도움을 줌
5) 비타민E : 유해산소로부터 세포를 보호하는데 필요
6) 아연 : 정상적인 면역기능에 필요, 정상적인 세포분열에 필요",적갈색의 젤리,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의","1일 1회, 1회 1포(15g)를 씹어서 섭취하십시오.",200400200022225,제조일로부터 18개월.,"1) 성상 : 이미, 이취가 없고 고유의 향미가 있는 적갈색의 젤리
2) 진세노사이드 Rg1, Rb1 및 Rg3의 합 : 표시량(3mg/15g)의 80% 이상
3) 비타민B2 : 표시량(1.4mg/15g)의 80~180% 
4) 비타민B6 : 표시량(1.5mg/15g)의 80~150%
5) 비타민D : 표시량(10ug/15g)의 80~180%
6) 비타민E : 표시량(11mg α-TE /15g)의 80~150%
7) 아연 : 표시량(8.5mg/15g)의 80~150%
8) 대장균군 : 음성",코스맥스바이오(주),
49,50,20150522,+휴젠푸드,직사광선 및 고온다습한 곳을 피해 보관하십시오.,[셀레늄(또는 셀렌)]①유해산소로부터 세포를 보호하는데 필요,미황색의 장방형 제피정제,"·유통기한을 확인하시기 바라며, 섭취량 및 섭취방법을 준수하시기 바랍니다.
·본 제품은 섭취자의 신체상태에 따라 반응에 차이가 있을 수 있습니다.
·임산부, 수유부, 질병으로 인해 치료중인 분은 섭취 전 고객센터나 구입처로 문의하십시오.
·특정성분에 알레르기 체질이신 분은 섭취 전에 반드시 원료(성분)를 확인하신 후 섭취하시기 바랍니다.
·섭취량 및 섭취방법을 확인한 후 섭취하시고, 기타 제품관련사항은 고객센터로 문의해 주십시오.
·용기 안의 실리카겔(방습제)은 절대 드시지 마십시오.","1일 1회, 1회 1포(2정)을 물과 함께 섭취하십시오.",200400200071416,제조일로부터 24개월까지,"1) 성    상 : 미황색의 장방형 제피정제
2) 셀렌 : 표시량의 80%~150% (표시량 : 55 ㎍ / 1,000 mg)
3) 대장균군 : 음성
4) 붕해 : 적합(60분 이내)",(주)한국씨엔에스팜,
50,51,20181226,0118 리얼 테아닌 스트레스 클린,① 고온다습한 곳과 직사광선을 피하여 습기가 적고 건조한 곳에 보관하십시오.,[테아닌] ①스트레스로 인한 긴장완화에 도움을 줄 수 있음,"점박이가 있는 미백색 원형 츄어블 정제로 이미, 이취가 없다.","① 과량섭취 시 부작용이 있을 수 있음.
  ② 특정원료에 알레르기가 있거나 질병치료 약물투여 중인 분은 섭취 전 전문가와 상의하십시오.
  ③ 유통기한이 경과된 제품은 섭취하지 마십시오.
  [테아닌] ①카페인 함유음료(커피, 홍차, 녹차 등)와의 병용 섭취에 주의
               ②임산부, 수유부, 어린이 및 수술전 후 환자는 섭취에 주의","1일 3회, 1회 1정씩 씹거나 녹여서 섭취하십시오.",20100019004841,제조일부터 24 개월,"1)  성    상 : 점박이가 있는 미백색 원형 츄어블 정제로 이미, 이취가 없다.
2)  대장균군 : 음 성
3)  L-테아닌 : 표시량(250mg/3,900mg)의 80~120%
4)  중금속 :
    (가) 납(mg/kg) : 1.0 이하
    (나) 카드뮴(mg/kg) : 0.5 이하
    (다) 총수은(mg/kg) : 0.5 이하
    (라) 총비소(mg/kg) : 1.0 이하",네이처퓨어코리아(주),
51,52,20190116,0225 리얼 히알루론산 워터밤,① 고온다습한 곳과 직사광선을 피하여 습기가 적고 건조한 곳에 보관하십시오.,"[히알루론산]①피부보습에 도움을 줄 수 있음②자외선에 의한 피부손상으로부터 피부 건강유지에 도움을 줄 수 있음(생리활성기능 2등급)
[비타민C]①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③유해산소로부터 세포를 보호하는데 필요","점박이 있는 노란 하얀색 원형 츄어블 정제로 이미, 이취가 없다.","① 과량섭취 시 부작용이 있을 수 있음.
② 특정원료에 알레르기가 있거나 질병치료 약물투여 중인 분은 섭취 전 전문가와 상의하십시오.
③ 유통기한이 경과된 제품은 섭취하지 마십시오.","1일 3회, 1회 1정을 씹거나 녹여서 섭취하십시오.",20100019004846,제조일부터 24 개월,"1) 성    상  : 점박이 있는 노란 하얀색 원형 츄어블 정제로 이미, 이취가 없다.
2) 대장균군  : 음 성
3) 히알루론산 : 표시량(240mg/3,900mg)의 80~120%
4) 비타민C  : 표시량(300mg/3,900mg)의 80~150%
5) 중금속
   (가) 납(mg/kg) : 2.0 이하
   (나) 카드뮴(mg/kg) : 0.5 이하
   (다) 총수은(mg/kg) : 0.5 이하
   (라) 총비소(mg/kg) : 1.0 이하",네이처퓨어코리아(주),
52,53,20190102,0920 리얼 밀크씨슬 & 홍경천,① 고온다습한 곳과 직사광선을 피하여 습기가 적고 건조한 곳에 보관하십시오.,"[밀크씨슬(카르두스 마리아누스)추출물]①간 건강에 도움을 줄 수 있음
[홍경천추출물]①스트레스로 인한 피로 개선에 도움을 줄 수 있음
[비타민C]①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③유해산소로부터 세포를 보호하는데 필요
[비타민B1]①탄수화물과 에너지 대사에 필요
[비타민B6]①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[엽산]①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민E]①유해산소로부터 세포를 보호하는데 필요
[아연]①정상적인 면역기능에 필요②정상적인 세포분열에 필요
[셀레늄(또는 셀렌)]①유해산소로부터 세포를 보호하는데 필요","흐린 황갈색 장방형 코팅정제로 이미, 이취가 없다.","① 과량섭취 시 부작용이 있을 수 있음.
  ② 특정원료에 알레르기가 있거나 질병치료 약물투여 중인 분은 섭취 전 전문가와 상의하십시오.
  ③ 유통기한이 경과된 제품은 섭취하지 마십시오.
  [밀크씨슬(카르두스 마리아누스)추출물] ① 알레르기 반응이 나타나는 경우에는 섭취 중단 ② 설사, 위통, 복부팽만     등의 위장관계 장애가 나타나는 경우에는 섭취에 주의","1일 1회, 1회 1정을 물과 함께 섭취",20100019004844,제조일부터 24 개월,"① 성    상 : 흐린 황갈색 장방형 코팅정제로 이미, 이취가 없다.
② 대장균군 : 음 성
③ 붕해시험 : 60분 이내
④ 실리마린 : 표시량(130mg/1,200mg)의 80~120%
④ 로사빈 : 표시량(6.3mg/1,200mg)의 80~120%
④ 비타민C : 표시량(100mg/1,200mg)의 80~150%
④ 비타민B1 : 표시량(1.2mg/1,200mg)의 80~180%
⑤ 비타민B6 : 표시량(1.5mg/1,200mg)의 80~150%
⑥ 엽    산 : 표시량(400㎍/1,200mg)의 80~150%
⑥ 비타민E : 표시량(11mgα-TE/1,200mg)의 80~150%
⑥ 아    연 : 표시량(8.5mg/1,200mg)의 80~150%
⑦ 셀    렌 : 표시량(55㎍/1,200mg)의 80~150%
⑧ 잔류용매(해당용매를 사용한 경우에 한함)
   (가) 헥산(mg/kg) : 5.0 이하
   (나) 초산에틸(mg/kg) : 50.0 이하
⑨ 중금속
   (가) 납(mg/kg) : 1.0 이하
   (나) 카드뮴(mg/kg) : 0.5 이하
   (다) 총수은(mg/kg) : 0.5 이하
   (라) 총비소(mg/kg) : 1.0 이하",네이처퓨어코리아(주),
53,54,20170428,100세건강 365,습기가 적고 직사광선을 받지 않는 서늘한 곳에 보관하십시요.,"[HK 나토배양물]혈액의 흐름을 방해할 수 있는 혈소판응집을 억제하여, 혈액흐름을 원활히 하는데 도움을 줄 수 있음.(기타 II) 
[은행잎 추출물 제품]①기억력 개선에 도움을 줄 수 있음 ②혈행 개선에 도움을 줄 수 있음 
[아연]①정상적인 면역기능에 필요②정상적인 세포분열에 필요 
[비타민D]①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌 
[철]①체내 산소운반과 혈액생성에 필요②에너지 생성에 필요",이미 이취가 없고 고유의 향미가 있는 담갈색의 제피정제,"① 임산부, 수유부, 어린이 및 수술전후 환자는 섭취에 주의 ② 의약품(항응고제) 복용 시 섭취에 주의

특히 6세 이하는 과량섭취하지 않도록 주의","1일 2회, 1회 1정(500mg)을 충분한 물과 함께 섭취하십시요.",20040017106325,제조일로부터24개월,"① 성상 : 이미, 이취가 없고 고유의 향미가 있는 담갈색의 제피 정제 
② 피브린용해효소활성 : 표시량(2000U/1,000mg)의 80~120%
③ 플라보놀배당체(flavonol glycosides) : 표시량(30mg/1,000mg)의 80~120%
④ 아연 : 표시량(5mg/1,000mg)의 80~150%                                      
⑤ 철 : 표시량(6mg/1,000mg)의 80~150%                                                                        
⑥ 비타민D : 표시량(3㎍/1,000mg)의 80~180%                                                                          
⑦ 납(mg/kg) : 1.0 이하                                                                 
⑧ 카드뮴(mg/kg) : 1.0 이하                                                           
⑨ 총 비소(mg/kg) : 1.0 이하                                                         
⑩ 총 수은(mg/kg) : 1.0 이하                                                          
⑪ 대장균군 : 음성                                                                       
⑫ 붕해도 : 60분 이내                                                                    
⑬ 깅콜릭산(mg/kg) : 5.0 이하",에스케이내추럴팜(주),
54,55,20190813,100억 패밀리 프로바이오틱스 유산균,직사광선 및 고온다습한 곳을 피해 서늘한 곳에 보관하십시오.,"①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음 

①정상적인 면역기능에 필요②정상적인 세포분열에 필요

①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌","이미, 이취가 없고 고유의 향미가 있는 미황색의 분말","① 질환이 있거나 의약품 복용 시 전문가와 상담할 것 
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음 
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상 사례 발생 시 섭취를 중단하고 전문가와 상담할 것","1일 1회, 1회 1포를 직접 섭취하거나 물과 함께 섭취하십시오.",20180012174111,18개월까지,"① 성상 : 이미, 이취가 없고 고유의 향미가 있는 미황색의 분말
② 프로바이오틱스 수 : 표시량(1.0 x 10^10 CFU/2.0g) 이상
③ 아연 : 표시량(2.55mg/2.0g)의 80~150%
④ 비타민 D : 표시량(10㎍/2.0g)의 80~180%
⑤ 대장균군 : 음성",(주)메디오젠 충주공장,
55,56,20190625,10대를 위한 기억력 업(UP) 홍삼,직사광선을 피하고 서늘한 곳에 보관하십시오.(실온보관),[홍삼제품]①면역력 증진②피로개선③혈소판 응집 억제를 통한 혈액흐름에 도움④기억력 개선에 도움을 줄 수 있음⑤항산화에 도움을 줄수 있음,이미·이취가 없는 갈색의 액상제품,"알레르기 체질이나 특이체질이신 경우 성분을 확인 하신 후 섭취하여 주시기 바랍니다.
본 제품은 질병의 예방 및 치료를 위한 의약품이 아닌 건강기능식품입니다.
의약품(당뇨치료제, 혈액항응고제) 복용시 섭취에 주의 하십시오.","1일 1회, 1회 1포(10g)씩 섭취하시기 바랍니다.",2004001900274,제조일로부터 24개월까지,"1) 성상 : 이미·이취가 없는 갈색의 액상제품
2) 진세노사이드 Rg1, Rb1 및 Rg3의 합 : 표시량(7mg/10g)의 80% 이상
3) 세균수 : 1g 당 100 이하 
4) 대장균군 : 음성",(주)건보,
56,57,20191010,10억 생유산균 키즈,직사광선을 피하고 서늘한 곳에 보관,"①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음 

①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌

①정상적인 면역기능에 필요②정상적인 세포분열에 필요","이미, 이취가 없고 고유의 향미가 있는 연한 미색 분말","- 제품을 개봉할 때 또는 섭취 시 포장재에 의해 상처를 입을 수 있으니 주의하십시오.
- 유통기한이 경과된 제품은 섭취하지 마십시오.

-질환이 있거나 의약품 복용 시 전문가와 상담하십시오.
-알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있습니다.
-어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도하여 주십시오.
-이상사례 발생 시 섭취를 중단하고 전문가와 상담하여 주십시오.

-고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담하여 주십시오.
-이상사례 발생 시 섭취를 중단하고 전문가와 상담하여 주십시오.","1일 1회, 1회 1포씩 섭취",20140020032124,제조일로부터 18개월,"① 성상 : 이미, 이취가 없고 고유의 향미가 있는 연한 미색 분말
② 비타민D : 5ug/2g(80-150%)
③ 아연 : 2.6mg/2g(80-150%)
④ 프로바이오틱스 수 : 1,000,000,000CFU/2g(표시량 이상)",엠에스바이오텍(주)제2공장,
57,58,20160913,10종 프로바이오틱스 엘엠(LM),냉장보관(0~10℃),①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,고유의 색택을 향미를 가지며 이미 이취가 없는 미백색 분말,고온다습한 환경에서의 사용을 가급적 삼간다.,건강기능식품의 원료로서 사용한다.,20100016005193,제조일로부터 12개월까지,"성상 : 교유의 색택과 향미를 가지며 이미 이취가 없는 미백색 분말
대장균군 : 음성
프로바이오틱스수 : 100,000,000,000 CFU/g 이상",주식회사 락토메이슨,
58,59,20190528,10종 혼합유산균-200비(200B),냉장보관,①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,"이미, 이취가 없고 고유의 향미가 있는 흰노란색 분말","- 질환이 있거나 의약품 복용 시 전문가와 상담할 것
- 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
- 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
- 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
- 원료로 사용시 개봉 후 오염우려가 있으니 신속하게 사용하고, 남은 것은 밀봉 후 냉장보관한다.",건강기능식품 원료로 사용,20040017059155,제조일로부터 24개월,"1. 성상 : 이미, 이취가 없고 고유의 향미가 있는 흰노란색 분말
2. 프로바이오틱스 수 : 표시량(2.0x10^11CFU/g) 이상
3. 대장균군 : 음성
4. 납 : 1.0mg/kg 이하
5. 카드뮴 : 0.3mg/kg 이하",(주)씨티씨바이오,
59,60,20150522,10종 혼합유산균2011,냉소보관(섭씨 0~15도),"유산균의 증식 및 유해균 억제·배변활동 원활에 도움을 줄 수 있음.
유산균의 증식 및 유해균 억제·배변활동 원활에 도움을 줄 수 있음.","이미, 이취가 없고 고유의 향미가 있는 흰노란색의 분말",고온다습한 환경에서의 사용을 가급적 삼간다.,건강기능식품 원료로 사용,20040017017909,제조일로부터 12개월,"(1) 성상: 이미, 이취가 없고 고유의 향미가 있는 흰노란색의 분말
(2) 프로바이오틱스 수: 표시량 이상
    - 프로바이오틱스 수: 200,000,000,000개/g 이상
(3) 대장균군: 음성",(주)쎌바이오텍,
60,61,20190423,10종라비센궁유산균,"실온, (직사광선 및 습한 곳을 피하여 서늘한 곳에 보관)",①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,"이미, 이취가 없고 고유의 향미가 있는 황색의 분말","① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",① 건강기능식품 제조 시 일일 섭취량에 적합한 양을 사용.,20040020029318,제조일로부터 18개월까지,"① 성상 : 이미, 이취가 없고 고유의 향미가 있는 황색의 분말
② 대장균군 : 음성
③ 프로바이오틱스 수 : 3.20 X 10^11 CFU/g 이상 
④ 납 :　1.0mg/kg 이하
                ⑤ 카드뮴 : 0.3mg/kg 이하",(주)메디오젠,
61,62,20190228,10종라비센키즈3유산균,"실온, (직사광선 및 습한 곳을 피하여 서늘한 곳에 보관)",①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,"이미, 이취가 없고 고유의 향미가 있는 흐린 노란색의 분말","① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",① 건강기능식품 제조 시 일일 섭취량에 적합한 양을 사용.,20040020029307,제조일로부터 18개월까지,"① 성상 : 이미, 이취가 없고 고유의 향미가 있는 흐린 노란색의 분말
② 대장균군 : 음성
③ 프로바이오틱스 수 : 2.00 X 10^11 CFU/g 이상 
④ 납 :　1.0mg/kg 이하
⑤ 카드뮴 : 0.3mg/kg 이하",(주)메디오젠,
62,63,20150522,10종알파혼합유산균,직사광선을 피하여 서늘한 곳에 보관하고 유통과정에서 흡습되지 않도록 파손에 주의,"1.유익한 유산균 증식
2.유해균 억제 또는 배변활동 원활",유백색의 분말,"① 알레르기 체질인 경우 성분을 확인 후 섭취
② 제품의 포장지에 의해 상처를 입을 수 있으니 주의",건강기능식품 원료로 사용,2004002002987,18개월,"(1) 성상 : 고유의 색택과 향미를 가지며 이미,이취가 없어야 함
(2) 프로바이오틱스 수 : 표시량(1,000,000,000 cfu/g) 이상
(3) 대장균군 : 음성",(주)메디오젠,
63,64,20190822,10종알파혼합유산균비(B)-3300,"실온, (직사광선 및 습한 곳을 피하여 서늘한 곳에 보관)",①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,"이미, 이취가 없고 고유의 향미가 있는 황색의 분말","① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",건강기능식품 제조 시 일일 섭취량에 적합한 양을 사용,20040020029379,제조일로부터 18개월까지,"① 성상 : 이미, 이취가 없고 고유의 향미가 있는 황색의 분말
② 대장균군 : 음성
③ 프로바이오틱스 수 : 3.30 X 10^11 CFU/g 이상 
④ 납 :　1.0mg/kg 이하
⑤ 카드뮴 : 0.3mg/kg 이하",(주)메디오젠,
64,65,20190828,10종알파혼합유산균씨(C)-3600,"실온, (직사광선 및 습한 곳을 피하여 서늘한 곳에 보관)",①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,"이미, 이취가 없고 고유의 향미가 있는 황색의 분말","① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",건강기능식품 제조 시 일일 섭취량에 적합한 양을 사용,20040020029385,제조일로부터 18개월까지,"① 성상 : 이미, 이취가 없고 고유의 향미가 있는 황색의 분말
② 대장균군 : 음성
③ 프로바이오틱스 수 : 3.60 X 10^11 CFU/g 이상 
④ 납 :　1.0mg/kg 이하
⑤ 카드뮴 : 0.3mg/kg 이하",(주)메디오젠,
65,66,20190822,10종알파혼합유산균에이(A)-3400,"실온, (직사광선 및 습한 곳을 피하여 서늘한 곳에 보관)",①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,"이미, 이취가 없고 고유의 향미가 있는 황색의 분말","① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",건강기능식품 제조 시 일일 섭취량에 적합한 양을 사용,20040020029378,제조일로부터 18개월까지,"① 성상 : 이미, 이취가 없고 고유의 향미가 있는 황색의 분말
② 대장균군 : 음성
③ 프로바이오틱스 수 : 3.40 X 10^11 CFU/g 이상 
④ 납 :　1.0mg/kg 이하
⑤ 카드뮴 : 0.3mg/kg 이하",(주)메디오젠,
